Match Date,Match,Home/Away,Team,Player Name,Minutes Played,Time Period,Total Distance
24/02/2018,Team Y v Team A,away,Team A,Player 28,63,1-5TD,687.4
24/02/2018,Team Y v Team A,away,Team A,Player 7,17,1-5TD,0.0
24/02/2018,Team Y v Team A,away,Team A,Player 15,96,1-5TD,744.7
24/02/2018,Team Y v Team A,away,Team A,Player 9,96,1-5TD,590.8
24/02/2018,Team Y v Team A,away,Team A,Player 6,96,1-5TD,657.8
24/02/2018,Team Y v Team A,away,Team A,Player 19,96,1-5TD,735.5
27/02/2018,Team E v Team A,away,Team A,Player 13,100,1-5TD,628.1
27/02/2018,Team E v Team A,away,Team A,Player 1,97,1-5TD,659.2
27/02/2018,Team E v Team A,away,Team A,Player 8,76,1-5TD,746.8
27/02/2018,Team E v Team A,away,Team A,Player 14,84,1-5TD,644.6
27/02/2018,Team E v Team A,away,Team A,Player 20,75,1-5TD,659.1
27/02/2018,Team E v Team A,away,Team A,Player 10,100,1-5TD,550.9
27/02/2018,Team E v Team A,away,Team A,Player 28,25,1-5TD,0.0
27/02/2018,Team E v Team A,away,Team A,Player 26,24,1-5TD,0.0
27/02/2018,Team E v Team A,away,Team A,Player 15,100,1-5TD,680.4
27/02/2018,Team E v Team A,away,Team A,Player 9,100,1-5TD,690.8
27/02/2018,Team E v Team A,away,Team A,Player 6,100,1-5TD,573.2
27/02/2018,Team E v Team A,away,Team A,Player 16,16,1-5TD,0.0
27/02/2018,Team E v Team A,away,Team A,Player 19,100,1-5TD,618.1
03/03/2018,Team A  v Team J,home,Team A,Player 11,20,1-5TD,0.0
03/03/2018,Team A  v Team J,home,Team A,Player 17,96,1-5TD,659.1
03/03/2018,Team A  v Team J,home,Team A,Player 23,10,1-5TD,0.0
03/03/2018,Team A  v Team J,home,Team A,Player 18,96,1-5TD,791.3
03/03/2018,Team A  v Team J,home,Team A,Player 13,85,1-5TD,773.9
03/03/2018,Team A  v Team J,home,Team A,Player 8,96,1-5TD,645.8
03/03/2018,Team A  v Team J,home,Team A,Player 14,84,1-5TD,581.4
03/03/2018,Team A  v Team J,home,Team A,Player 7,84,1-5TD,526.5
03/03/2018,Team A  v Team J,home,Team A,Player 15,96,1-5TD,768.8
03/03/2018,Team A  v Team J,home,Team A,Player 9,75,1-5TD,641.0
03/03/2018,Team A  v Team J,home,Team A,Player 6,96,1-5TD,696.3
03/03/2018,Team A  v Team J,home,Team A,Player 16,11,1-5TD,0.0
03/03/2018,Team A  v Team J,home,Team A,Player 19,96,1-5TD,692.1
03/03/2018,Team A  v Team J,home,Team A,Player 29,11,1-5TD,0.0
05/04/2018,Team Q v Team A,away,Team A,Player 17,102,1-5TD,598.3
05/04/2018,Team Q v Team A,away,Team A,Player 18,83,1-5TD,693.5
05/04/2018,Team Q v Team A,away,Team A,Player 1,102,1-5TD,621.9
05/04/2018,Team Q v Team A,away,Team A,Player 8,102,1-5TD,662.9
